date,groupes,genre,renouveau,statut,duree,ministre,theme,total
2017-07-25,LR,H,nouveaux,attente,3,Ministère auprès du ministre d'État, ministre de la transition écologique et solidaire, chargé des transports,transports ferroviaires,1
2017-07-25,LR,H,nouveaux,attente,3,Ministère de l'enseignement supérieur, de la recherche et de l'innovation,enseignement supérieur,1
2017-07-25,LR,H,nouveaux,attente,3,Ministère de l’intérieur,automobiles,1
2017-07-25,LR,H,nouveaux,attente,3,Ministère des solidarités et de la santé,établissements de santé,1
2017-07-25,LR,H,nouveaux,attente,3,Ministère des solidarités et de la santé,politique sociale,1
2017-07-25,LR,H,nouveaux,attente,3,Ministère des solidarités et de la santé,professions de santé,1
2017-07-25,LR,H,nouveaux,attente,3,Ministère des solidarités et de la santé,retraites : régimes autonomes et spéciaux,1
2017-07-25,LR,H,nouveaux,reponse,2,Ministère de l'agriculture et de l'alimentation,agriculture,1
2017-07-25,LR,H,nouveaux,reponse,2,Ministère de l’intérieur,police,1
2017-07-25,LR,H,nouveaux,reponse,2,Ministère de la cohésion des territoires,télécommunications,1
2017-07-25,LR,H,nouveaux,reponse,2,Ministère des solidarités et de la santé,maladies,1
2017-07-25,LR,H,nouveaux,reponse,3,Ministère des solidarités et de la santé,sang et organes humains,1
2017-07-25,LREM,F,nouveaux,attente,3,Ministère de l'éducation nationale,enseignement maternel et primaire,1
2017-07-25,LREM,F,nouveaux,attente,3,Ministère de l'éducation nationale,enseignement technique et professionnel,1
2017-07-25,LREM,F,nouveaux,attente,3,Ministère de l’intérieur,ordre public,1
2017-07-25,LREM,F,nouveaux,reponse,2,Ministère du travail,emploi et activité,1
2017-07-25,LREM,H,anciens,attente,3,Ministère de l'économie et des finances,impôts et taxes,1
2017-07-25,LREM,H,anciens,attente,3,Ministère de l'Europe et des affaires étrangères,aquaculture et pêche professionnelle,1
2017-07-25,LREM,H,anciens,attente,3,Ministère de l’intérieur,sécurité routière,1
2017-07-25,LREM,H,anciens,attente,3,Ministère des solidarités et de la santé,pharmacie et médicaments,2
2017-07-25,LREM,H,anciens,attente,3,Ministère des solidarités et de la santé,sécurité sociale,1
2017-07-25,LREM,H,anciens,reponse,2,Ministère des solidarités et de la santé,sécurité sociale,1
2017-07-25,LREM,H,anciens,reponse,3,Ministère des solidarités et de la santé,professions de santé,1
2017-07-25,LREM,H,nouveaux,attente,3,Ministère de l'économie et des finances,impôts et taxes,2
2017-07-25,LREM,H,nouveaux,attente,3,Ministère de l'éducation nationale,enseignement,1
2017-07-25,LREM,H,nouveaux,attente,3,Ministère de l’intérieur,papiers d'identité,1
2017-07-25,LREM,H,nouveaux,attente,3,Ministère de la culture,audiovisuel et communication,1
2017-07-25,LREM,H,nouveaux,attente,3,Ministère de la culture,propriété intellectuelle,1
2017-07-25,LREM,H,nouveaux,attente,3,Ministère de la justice,lieux de privation de liberté,1
2017-07-25,LREM,H,nouveaux,attente,3,Ministère des solidarités et de la santé,pharmacie et médicaments,1
2017-07-25,LREM,H,nouveaux,attente,3,Ministère des sports,politique extérieure,1
2017-07-25,LREM,H,nouveaux,attente,3,Secrétariat d'État, auprès du Premier ministre, chargé des personnes handicapées,personnes handicapées,1
2017-07-25,LREM,H,nouveaux,reponse,1,Ministère de l'agriculture et de l'alimentation,agriculture,1
2017-07-25,LREM,H,nouveaux,reponse,1,Ministère de l'économie et des finances,élevage,1
